"dataset","level","entity_id","reviewed_biological_label","reviewed_short_label","subcellular_context","roi_context","label_confidence","manual_review_required","aggregation_evidence_class","structural_status","rationale","reviewer","proposal_prepared_by","review_date","adjudication_status"
"microglia","module","WGCNA_m11","RNA splicing and ribonucleoprotein processing","RNA splicing/RNP processing","nucleus; spliceosome; ribonucleoprotein complex; nucleolus","Soma-enriched RNA-processing context; housekeeping program, not cell-identity evidence","high",FALSE,"not_applicable_module","module","RNA-processing, spliceosomal/RNP CC and RNA-binding hubs converge strongly with good preservation.","Tobias Pohl","Codex pre-adjudication preparation","2026-07-21","reviewed"
"microglia","module","WGCNA_m12","Endomembrane organization and calcium transport","Endomembrane/Ca2+ transport","endomembrane system; ER/Golgi trafficking; calcium-transport compartments","Shared microglia-neuropil ROI with membrane-trafficking context","moderate",FALSE,"not_applicable_module","module","Endomembrane organization is supported, with calcium transport as a secondary coherent process; do not merge with synaptic-vesicle or cytoskeletal themes.","Tobias Pohl","Codex pre-adjudication preparation","2026-07-21","reviewed"
"microglia","module","WGCNA_m13","Endoplasmic-reticulum protein biogenesis and proteostasis","ER biogenesis / proteostasis","ER membrane, lumen and protein-containing complexes; proteostasis machinery","Mixed shared/soma ROI context; ER proteostasis is broadly cellular","moderate",FALSE,"not_applicable_module","module","Selected BP is not FDR-significant, but strong ER protein-complex CC enrichment and ER chaperone/folding hubs provide orthogonal support.","Tobias Pohl","User-directed final adjudication","2026-07-21","reviewed"
"microglia","supermodule","SM01","Actin-cytoskeleton remodeling and regulatory signaling","Actin remodeling","actin cytoskeleton and signaling machinery","Shared microglia-neuropil ROI; actin/cytoskeletal processes are broadly cellular","high",FALSE,"recurring_GO_and_eigengene_supported","multi_module","Both member modules support actin filament/cytoskeleton terms and show strong eigengene coherence; the label remains distinct from microtubule and vesicle programs.","Tobias Pohl","Codex pre-adjudication preparation","2026-07-21","reviewed"
"microglia","supermodule","SM02","Axonal microtubule organization and secretory trafficking","Microtubule / secretion","axon and polymeric microtubule cytoskeleton; secretory vesicle/granule; chaperonin complex","Neuropil/axonal microenvironment context; do not interpret as microglia-intrinsic","moderate",FALSE,"not_applicable_singleton","singleton","Singleton inheriting current member WGCNA_m03: Reproductive GO annotation is driven by low-ranking non-hub proteins; broader GO, hub and localization evidence supports axonal microtubule, secretory and chaperonin biology.","Tobias Pohl","User-directed final adjudication","2026-07-21","reviewed"
"microglia","supermodule","SM03","Mixed: vesicle/exocytic trafficking; microtubule-organizing structures","Vesicle trafficking / MTOC","vesicle/exocytic compartments; microtubule-organizing center and centrosome retained as a separate theme","Neuropil/synaptic and endomembrane ROI context; not microglia-intrinsic","moderate",FALSE,"mixed_supported_themes","multi_module","Vesicle/exocytic evidence recurs across member modules; centrosomal/MTOC biology remains a separate supported component.","Tobias Pohl","User-directed final adjudication","2026-07-21","reviewed"
"microglia","supermodule","SM04","Mixed metabolic and neuronal-structural proteins","Metabolic / structural","mixed mitochondrial/metabolic, neuronal-structural and cell-junction proteins; cornified-envelope signal from low-kME subset","Mixed ROI/context signal; skin/tissue-identity evidence is not biologically credible for naming","low",FALSE,"not_applicable_singleton","singleton","Singleton inheriting current member WGCNA_m09: Skin-development enrichment is driven by low-ranking non-hub proteins; dominant hubs support metabolic and neuronal-structural themes without a defensible unified mechanism.","Tobias Pohl","User-directed final adjudication","2026-07-21","reviewed"
"microglia","supermodule","SM05","Endoplasmic-reticulum protein biogenesis and proteostasis","ER biogenesis / proteostasis","ER membrane, lumen and protein-containing complexes; proteostasis machinery","Mixed shared/soma ROI context; ER proteostasis is broadly cellular","moderate",FALSE,"not_applicable_singleton","singleton","Singleton inheriting current member WGCNA_m13: Selected BP is not FDR-significant, but strong ER protein-complex CC enrichment and ER chaperone/folding hubs provide orthogonal support.","Tobias Pohl","User-directed final adjudication","2026-07-21","reviewed"
"microglia","supermodule","SM06","Mitochondrial gene expression and oxidative phosphorylation","Mitochondrial translation/OXPHOS","mitochondrial ribosome; mitochondrial inner membrane; respiratory-chain machinery","Shared microglia-neuropil ROI; mitochondrial housekeeping signal, not evidence of microglia identity","high",FALSE,"not_applicable_singleton","singleton","Singleton inheriting current member WGCNA_m01: Strong BP and CC support, broad protein coverage, mitochondrial hubs and strong preservation converge; retain process label and keep ROI context separate.","Tobias Pohl","Codex pre-adjudication preparation","2026-07-21","reviewed"
"microglia","supermodule","SM07","Membrane organization and ion handling","Membrane / ion handling","endoplasmic-reticulum membrane; basal/presynaptic plasma membrane; membrane-associated cytoskeleton","Shared microglia-neuropil ROI; membrane and cytoskeletal context is not cell-type specific","low",FALSE,"not_applicable_singleton","singleton","Singleton inheriting current member WGCNA_m02: Significant membrane-related cellular-component evidence with mixed channel, receptor and cytoskeletal proteins; no single specific signalling pathway is claimed.","Tobias Pohl","User-directed final adjudication","2026-07-21","reviewed"
"microglia","supermodule","SM08","Basement-membrane and extracellular-matrix organization","Basement membrane/ECM","basement membrane; extracellular matrix; cell-matrix adhesion sites","Vascular/perivascular basement-membrane context; do not interpret as microglia-intrinsic ECM biology","high",FALSE,"not_applicable_singleton","singleton","Singleton inheriting current member WGCNA_m06: Integrin, ECM and basement-membrane evidence is coherent and preserved, but the marker pattern is vascular/perivascular local microenvironment rather than microglia-intrinsic biology.","Tobias Pohl","Codex pre-adjudication preparation","2026-07-21","reviewed"
"microglia","supermodule","SM09","Ribonucleoprotein biogenesis and ribosomal translation","RNP biogenesis/translation","cytosolic ribosome; nucleolus; ribonucleoprotein complexes","Soma-enriched RNA-processing/translation housekeeping context","high",FALSE,"recurring_GO_and_eigengene_supported","multi_module","Both members contribute recurring RNP/RNA-processing/translation evidence with high eigengene coherence and PC1 variance; proteostasis wording was removed as too broad.","Tobias Pohl","Codex pre-adjudication preparation","2026-07-21","reviewed"
