"statement_id","manuscript_section","statement","statement_class","resolves_to_claim","evidence_basis","prohibited_reading","verification_status"
"D-14","Discussion, sparse versus coordinated","Protein-level testing and ranked enrichment ask different questions of the same data; a result where the second detects structure the first does not is the expected consequence of that difference","INTERPRETATION","C3-1, C3-3","separate multiple-testing families; never placed on a common scale","that enrichment is more sensitive and therefore more true","INTERPRETATION_LABELLED"
"D-15","Discussion, sparse versus coordinated","The seven program families do not constitute seven independent mechanistic findings; the atlas is descriptive and computes no theme-level significance","LIMITATION","C3-3","curated atlas definition; no theme-level P or FDR","that each family is a separate supported mechanism","VERIFIED_FROM_EXISTING_CLAIM"
"D-16","Discussion, sparse versus coordinated","Leading-edge membership is not a protein-level result; none of the displayed values is individually supported after correction","LIMITATION","C3-6","smallest BH FDR 0.53 among displayed leading-edge values","that leading-edge proteins are validated differential proteins","VERIFIED_FROM_EXISTING_CLAIM"
"D-17","Discussion, sparse versus coordinated","The correlation-aware competitive analysis is a sensitivity analysis on the same ranked statistics, not independent replication","LIMITATION","C3-5","direction concordant, inferential support attenuated","that it independently replicates the enrichment result","VERIFIED_FROM_EXISTING_CLAIM"
"D-18","Discussion, spatial context","Program differences are resolved across distinct spatial contexts; the unevenness of supported cells was observed but not tested","INTERPRETATION + LIMITATION","C3-3, C3-4","omnibus heterogeneity tests did not survive correction","spatially selective, spatially specific, region-specific, layer-specific, restricted","VERIFIED_FROM_EXISTING_CLAIM"
"D-19","Discussion, spatial context","The same program family may appear in more than one context, and the context of strongest phenotype effect need not be the context of strongest control-state affinity; this is contextual heterogeneity, not movement of a program","INTERPRETATION","C3-3","descriptive atlas structure","relocation, redistribution or migration of programs between compartments","INTERPRETATION_LABELLED"
"D-20","Discussion, CA2-SLM","The initial concentration of supported proteins in CA2-SLM does not survive quality-control scrutiny and is reported as qualified; CA2-SLM is not a molecular hotspot","RESULT + LIMITATION","C3-2","missingness audit, normalisation displacement tracking missingness, robustness criteria","that CA2-SLM is a molecular hotspot","VERIFIED_FROM_EXISTING_CLAIM"
"D-21","Discussion, CA2-SLM","Directional signs were stable under leave-one-animal-out resampling, so the concern is magnitude separability from a normalisation artefact rather than instability across animals","INTERPRETATION","C3-2","robustness analysis","that the CA2-SLM effects are confirmed","INTERPRETATION_LABELLED"
"D-22","Discussion, modules","No module-by-contrast cell survived correction in the neuropil, none across all compartments, and no stress-by-spatial omnibus test was supported; this is failure to survive correction in the families tested","RESULT","C3-4","0 of 45, 0 of 105, 0 of 35","that no such effects exist, or that modules are supported resilience mechanisms","VERIFIED_FROM_EXISTING_CLAIM"
"D-23","Discussion, modules","Module membership and network position are properties of the correlation structure and add no statistical support to a protein's association with outcome","LIMITATION","C3-4","topology versus inference distinction","that hub status is inferential evidence","VERIFIED_FROM_EXISTING_CLAIM"
"D-24","Discussion, candidates","O-GlcNAcase, SLC22A23 and annexin A2 are named as candidates for orthogonal follow-up rather than established findings; none has been verified by an orthogonal method here","INTERPRETATION + LIMITATION","C3-1, C3-4","protein-level support and robustness qualification where applicable; module position is topological","that any candidate is a validated mechanism","INTERPRETATION_LABELLED"
"D-25","Discussion, limitations","The inferential sample is three animals per group, which limits protein-level detection and is why program-level analysis carries much of the interpretation","LIMITATION","C2-1, C3-1","design fact","that program-level analysis compensates for or substitutes for sample size","VERIFIED_FROM_EXISTING_CLAIM"
"D-26","Discussion, conclusion","Heterogeneous later outcomes are prospectively foreshadowed by early spontaneous behaviour and accompanied by coordinated hippocampal proteomic differences resolved across anatomical contexts; both halves are associations rather than mechanisms","INTERPRETATION","C1-5, C1-8, C3-1, C3-3","synthesis of the three results above","that either half is causal, global, or spatially specific","INTERPRETATION_LABELLED"
"D-27","Introduction","Resilience and susceptibility labels summarise where an animal falls on a graded outcome distribution and are neither fixed types nor predictions about other contexts","LITERATURE_CONTEXT + LIMITATION","C1-3, C1-4","classification rule is a threshold on a continuous score","that RES and SUS are immutable biological types","VERIFIED_FROM_EXISTING_CLAIM"
"D-28","Introduction","Statements about adolescent plasticity, outcome heterogeneity, endpoint-testing limitations, home-cage monitoring and hippocampal anatomy are general literature claims","LITERATURE_CONTEXT","not applicable","external literature; see citation_needs.csv CIT-01 to CIT-06","presenting these as findings of this study","CITATION_REQUIRED"
