"old_path","file_role","scientific_owner","active_status","tracked","baseline_manifest_member","destination_repo","proposed_new_path","rationale"
"01_preprocessing/03c_legacy_vs_animal_level_da_audit.r","LEGACY_ACTIVE","proteomics","SUPERSEDED_PROVENANCE",TRUE,FALSE,"pRoteomics","archive/01_preprocessing/03c_legacy_vs_animal_level_da_audit.r","listed in the pipeline.yml legacy section with a declared replacement; superseded provenance"
"01_preprocessing/04_format_metadata.r","LEGACY_SUPERSEDED","proteomics","SUPERSEDED_PROVENANCE",TRUE,FALSE,"pRoteomics","archive/01_preprocessing/04_format_metadata.r","pipeline.yml legacy section: older metadata helper superseded by 06_merged_metadata_module_score"
"01_preprocessing/05_metadata_create.r","LEGACY_SUPERSEDED","proteomics","SUPERSEDED_PROVENANCE",TRUE,FALSE,"pRoteomics","archive/01_preprocessing/05_metadata_create.r","pipeline.yml legacy section: older metadata helper superseded by 06_merged_metadata_module_score"
"01_preprocessing/06_merged_metadata_module_score.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/01_preprocessing/06_merged_metadata_module_score.r","runnable analysis entrypoint; stage identity analysis/01_preprocessing"
"02_id_mapping/01_MapThatProt_batch.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/01_preprocessing/01_MapThatProt_batch.r","runnable analysis entrypoint; stage identity analysis/01_preprocessing"
"02_id_mapping/01b_animal_level_mapping_audit.r","AUDIT","proteomics","ACTIVE_SUPPORT",TRUE,FALSE,"pRoteomics","audits/preprocessing/01b_animal_level_mapping_audit.r","pipeline.yml legacy section: validation-only audit of isolated animal-level mapping outputs"
"03_qc_exploration/00_dataset_qc_report.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/02_qc/00_dataset_qc_report.r","runnable analysis entrypoint; stage identity analysis/02_qc"
"03_qc_exploration/00b_joint_compartment_qc.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/02_qc/00b_joint_compartment_qc.r","runnable analysis entrypoint; stage identity analysis/02_qc"
"03_qc_exploration/00c_joint_compartment_qc_publication_figures.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/02_qc/00c_joint_compartment_qc_publication_figures.r","runnable analysis entrypoint; stage identity analysis/02_qc"
"03_qc_exploration/01_sample_qc_quicksearch.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/02_qc/01_sample_qc_quicksearch.r","runnable analysis entrypoint; stage identity analysis/02_qc"
"03_qc_exploration/02_missingness_diagnostics.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/02_qc/02_missingness_diagnostics.r","runnable analysis entrypoint; stage identity analysis/02_qc"
"03_qc_exploration/03_replicate_consistency.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/02_qc/03_replicate_consistency.r","runnable analysis entrypoint; stage identity analysis/02_qc"
"03_qc_exploration/04_marker_rank_abundance_qc.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/02_qc/04_marker_rank_abundance_qc.r","runnable analysis entrypoint; stage identity analysis/02_qc"
"03_qc_exploration/04b_import_reference_marker_sources.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/02_qc/04b_import_reference_marker_sources.r","runnable analysis entrypoint; stage identity analysis/02_qc"
"03_qc_exploration/04c_marker_detectability_and_wgcna_bridge.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/02_qc/04c_marker_detectability_and_wgcna_bridge.r","runnable analysis entrypoint; stage identity analysis/02_qc"
"03_qc_exploration/04d_compartment_marker_fidelity.r","LEGACY_SUPERSEDED","proteomics","SUPERSEDED_PROVENANCE",TRUE,FALSE,"pRoteomics","archive/02_qc/04d_compartment_marker_fidelity.r","pipeline.yml legacy section: deprecated sample-level cross-compartment inference, replaced by 04e"
"03_qc_exploration/04e_control_compartment_abundance_publication_figures.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/02_qc/04e_control_compartment_abundance_publication_figures.r","runnable analysis entrypoint; stage identity analysis/02_qc"
"03_qc_exploration/05_empirical_roi_marker_discovery.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/02_qc/05_empirical_roi_marker_discovery.r","runnable analysis entrypoint; stage identity analysis/02_qc"
"03_qc_exploration/05_pca_confounding_qc.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/02_qc/05_pca_confounding_qc.r","runnable analysis entrypoint; stage identity analysis/02_qc"
"03_qc_exploration/06_variance_partitioning.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/02_qc/06_variance_partitioning.r","runnable analysis entrypoint; stage identity analysis/02_qc"
"03_qc_exploration/07_wgcna_marker_trait_export.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/02_qc/07_wgcna_marker_trait_export.r","runnable analysis entrypoint; stage identity analysis/02_qc"
"03_qc_exploration/08_qc_biology_confounding_report.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/02_qc/08_qc_biology_confounding_report.r","runnable analysis entrypoint; stage identity analysis/02_qc"
"03_qc_exploration/README.md","DOCUMENTATION","proteomics","ACTIVE_SUPPORT",TRUE,FALSE,"pRoteomics","analysis/02_qc/README.md","stage-local documentation"
"03_qc_exploration/legacy/06_pcaPlot_Neha.r","LEGACY_SUPERSEDED","proteomics","SUPERSEDED_PROVENANCE",TRUE,FALSE,"pRoteomics","archive/03_qc_exploration/legacy/06_pcaPlot_Neha.r","superseded stage script retained for provenance"
"03_qc_exploration/legacy/08_boxplotBonanza.r","LEGACY_SUPERSEDED","proteomics","SUPERSEDED_PROVENANCE",TRUE,FALSE,"pRoteomics","archive/03_qc_exploration/legacy/08_boxplotBonanza.r","superseded stage script retained for provenance"
"03_qc_exploration/legacy/README.md","LEGACY_SUPERSEDED","proteomics","SUPERSEDED_PROVENANCE",TRUE,FALSE,"pRoteomics","archive/03_qc_exploration/legacy/README.md","superseded stage script retained for provenance"
"04_differential_expression_enrichment/01_clusterProfiler.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/04_differential_abundance/01_clusterProfiler.r","runnable analysis entrypoint; stage identity analysis/04_differential_abundance"
"04_differential_expression_enrichment/01b_gsea_protein_direction_audit.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/04_differential_abundance/01b_gsea_protein_direction_audit.r","runnable analysis entrypoint; stage identity analysis/04_differential_abundance"
"04_differential_expression_enrichment/02_compareGO.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/04_differential_abundance/02_compareGO.r","runnable analysis entrypoint; stage identity analysis/04_differential_abundance"
"04_differential_expression_enrichment/04_neuropil_reference_annotation.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/04_differential_abundance/04_neuropil_reference_annotation.r","runnable analysis entrypoint; stage identity analysis/04_differential_abundance"
"04_differential_expression_enrichment/05_microglia_targeted_signature_enrichment.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/04_differential_abundance/05_microglia_targeted_signature_enrichment.r","runnable analysis entrypoint; stage identity analysis/04_differential_abundance"
"04_differential_expression_enrichment/06_biological_program_summary.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/04_differential_abundance/06_biological_program_summary.r","runnable analysis entrypoint; stage identity analysis/04_differential_abundance"
"04_differential_expression_enrichment/07_compareGO_spatial_program_atlas.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/04_differential_abundance/07_compareGO_spatial_program_atlas.r","runnable analysis entrypoint; stage identity analysis/04_differential_abundance"
"04_differential_expression_enrichment/08_external_stress_disease_signature_overlap.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/04_differential_abundance/08_external_stress_disease_signature_overlap.r","runnable analysis entrypoint; stage identity analysis/04_differential_abundance"
"04_differential_expression_enrichment/09_control_spatial_identity_validation.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/04_differential_abundance/09_control_spatial_identity_validation.r","runnable analysis entrypoint; stage identity analysis/04_differential_abundance"
"04_differential_expression_enrichment/10_sus_res_spatial_dap_atlas.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/04_differential_abundance/10_sus_res_spatial_dap_atlas.r","runnable analysis entrypoint; stage identity analysis/04_differential_abundance"
"04_differential_expression_enrichment/11_stress_response_biological_audit.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/04_differential_abundance/11_stress_response_biological_audit.r","runnable analysis entrypoint; stage identity analysis/04_differential_abundance"
"04_differential_expression_enrichment/legacy/04_compare_pathways.r","LEGACY_SUPERSEDED","proteomics","SUPERSEDED_PROVENANCE",TRUE,FALSE,"pRoteomics","archive/04_differential_expression_enrichment/legacy/04_compare_pathways.r","superseded stage script retained for provenance"
"04_differential_expression_enrichment/legacy/05_compare_sig_expr.r","LEGACY_SUPERSEDED","proteomics","SUPERSEDED_PROVENANCE",TRUE,FALSE,"pRoteomics","archive/04_differential_expression_enrichment/legacy/05_compare_sig_expr.r","superseded stage script retained for provenance"
"04_differential_expression_enrichment/legacy/07_control_strata_enrichment_figures.r","LEGACY_SUPERSEDED","proteomics","SUPERSEDED_PROVENANCE",TRUE,FALSE,"pRoteomics","archive/04_differential_expression_enrichment/legacy/07_control_strata_enrichment_figures.r","superseded stage script retained for provenance"
"05_celltype_enrichment_EWCE/01_EWCE_E9.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/06_gsea/01_EWCE_E9.r","runnable analysis entrypoint; stage identity analysis/06_gsea"
"05_celltype_enrichment_EWCE/90_EWCE_legacy.r","LEGACY_ACTIVE","proteomics","SUPERSEDED_PROVENANCE",TRUE,FALSE,"pRoteomics","archive/05_celltype_enrichment_EWCE/90_EWCE_legacy.r","legacy variant superseded by the canonical stage script"
"06_modules_WGCNA/00_wgcna_identity_contract.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/00_wgcna_identity_contract.R","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/01_WGCNA.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/01_WGCNA.r","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/01a_compare_GO_recurrent_proteins.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/01a_compare_GO_recurrent_proteins.r","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/01b_module_supermodule_GO_heatmaps.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/01b_module_supermodule_GO_heatmaps.R","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/02_curated_overlap_programs.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/02_curated_overlap_programs.r","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/03_score_module_activity.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/03_score_module_activity.R","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/04_wgcna_de_gsea_overlap.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/04_wgcna_de_gsea_overlap.r","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/05_module_supermodule_group_effects.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/05_module_supermodule_group_effects.r","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/06_annotate_module_microenvironment.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/06_annotate_module_microenvironment.r","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/06_module_spatial_networks.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/06_module_spatial_networks.r","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/07_wgcna_interpretable_summary.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/07_wgcna_interpretable_summary.r","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/08_wgcna_publication_figures.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/08_wgcna_publication_figures.R","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/08_wgcna_score_publication_summary.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/08_wgcna_score_publication_summary.R","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/08b_microglia_wgcna_readiness_publication_figures.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/08b_microglia_wgcna_readiness_publication_figures.R","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/09_microglia_neuropil_independence.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/09_microglia_neuropil_independence.R","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/09b_microglia_neuropil_independence_figures.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/09b_microglia_neuropil_independence_figures.R","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/09c_microglia_roi_specificity_diagnostics.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/09c_microglia_roi_specificity_diagnostics.R","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/10_module_complex_architecture.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/10_module_complex_architecture.r","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/11_module_robustness_sensitivity.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/11_module_robustness_sensitivity.r","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/12_microglia_wgcna_nature_readiness_audit.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/12_microglia_wgcna_nature_readiness_audit.R","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/12b_finalize_microglia_wgcna_nature_readiness_audit.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/12b_finalize_microglia_wgcna_nature_readiness_audit.R","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/13_wgcna_claim_readiness.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/13_wgcna_claim_readiness.R","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/14_wgcna_label_coherence_audit.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/14_wgcna_label_coherence_audit.R","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/15_wgcna_label_adjudication.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/15_wgcna_label_adjudication.R","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/16_wgcna_label_approval_table.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/16_wgcna_label_approval_table.R","runnable analysis entrypoint; stage identity analysis/05_wgcna"
"06_modules_WGCNA/README.md","DOCUMENTATION","proteomics","ACTIVE_SUPPORT",TRUE,FALSE,"pRoteomics","analysis/05_wgcna/README.md","stage-local documentation"
"07_spatial_networks/01_network_spatial_relations.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/07_spatial_networks/01_network_spatial_relations.r","runnable analysis entrypoint; stage identity analysis/07_spatial_networks"
"07_spatial_networks/02_differential_networks.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/07_spatial_networks/02_differential_networks.r","runnable analysis entrypoint; stage identity analysis/07_spatial_networks"
"07_spatial_networks/03_bootstrap_network_stability.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/07_spatial_networks/03_bootstrap_network_stability.r","runnable analysis entrypoint; stage identity analysis/07_spatial_networks"
"07_spatial_networks/04_bootstrap_differential_network_stability.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/07_spatial_networks/04_bootstrap_differential_network_stability.r","runnable analysis entrypoint; stage identity analysis/07_spatial_networks"
"07_spatial_networks/05_bootstrap_differential_network_figures.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/07_spatial_networks/05_bootstrap_differential_network_figures.r","runnable analysis entrypoint; stage identity analysis/07_spatial_networks"
"07_spatial_networks/06_chord_diagram.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/07_spatial_networks/06_chord_diagram.r","runnable analysis entrypoint; stage identity analysis/07_spatial_networks"
"08_behavior_physio_coupling/01_correlate_proteomics_with_behavior.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/08_integration/01_correlate_proteomics_with_behavior.r","runnable analysis entrypoint; stage identity analysis/08_integration"
"08_behavior_physio_coupling/02_network_behavior_coupling.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/08_integration/02_network_behavior_coupling.r","runnable analysis entrypoint; stage identity analysis/08_integration"
"08_behavior_physio_coupling/03_module_behavior_coupling.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/08_integration/03_module_behavior_coupling.r","runnable analysis entrypoint; stage identity analysis/08_integration"
"08_behavior_physio_coupling/04_animal_id_integrity_audit.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/08_integration/04_animal_id_integrity_audit.R","runnable analysis entrypoint; stage identity analysis/08_integration"
"08_biological_interpretation/01_compartment_fidelity_summary.R","LEGACY_SUPERSEDED","proteomics","SUPERSEDED_PROVENANCE",TRUE,FALSE,"pRoteomics","archive/08_integration/01_compartment_fidelity_summary.R","pipeline.yml legacy section: superseded poster summary of imputed 04c marker scores, not authoritative"
"09_export_pride_journal/02_make_sample_metadata.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/09_publication_exports/02_make_sample_metadata.R","runnable analysis entrypoint; stage identity analysis/09_publication_exports"
"09_export_pride_journal/03_export_processed_pg_matrix_package.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/09_publication_exports/03_export_processed_pg_matrix_package.R","runnable analysis entrypoint; stage identity analysis/09_publication_exports"
"09_export_pride_journal/04_make_supplementary_tables.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/09_publication_exports/04_make_supplementary_tables.R","runnable analysis entrypoint; stage identity analysis/09_publication_exports"
"09_export_pride_journal/05_make_pride_manifest.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/09_publication_exports/05_make_pride_manifest.R","runnable analysis entrypoint; stage identity analysis/09_publication_exports"
"09_export_pride_journal/06_make_methods_summary.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/09_publication_exports/06_make_methods_summary.R","runnable analysis entrypoint; stage identity analysis/09_publication_exports"
"09_export_pride_journal/07_make_biological_claims_table.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/09_publication_exports/07_make_biological_claims_table.R","runnable analysis entrypoint; stage identity analysis/09_publication_exports"
"09_export_pride_journal/08_export_manuscript_figures.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/09_publication_exports/08_export_manuscript_figures.R","runnable analysis entrypoint; stage identity analysis/09_publication_exports"
"09_export_pride_journal/09_export_source_data.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/09_publication_exports/09_export_source_data.R","runnable analysis entrypoint; stage identity analysis/09_publication_exports"
"09_export_pride_journal/10_validate_pride_submission.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/09_publication_exports/10_validate_pride_submission.R","runnable analysis entrypoint; stage identity analysis/09_publication_exports"
"09_export_pride_journal/README.md","DOCUMENTATION","proteomics","ACTIVE_SUPPORT",TRUE,FALSE,"pRoteomics","analysis/09_publication_exports/README.md","stage-local documentation"
"09_export_pride_journal/RUN_EXPORT.R","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/09_publication_exports/RUN_EXPORT.R","runnable analysis entrypoint; stage identity analysis/09_publication_exports"
"09_export_pride_journal/config/export_config.yml","ANALYSIS_CONFIG","proteomics","ACTIVE_SUPPORT",TRUE,FALSE,"pRoteomics","analysis/09_publication_exports/config/export_config.yml","stage-local export configuration"
"10_biological_integration/01_cross_compartment_program_atlas.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/08_integration/01_cross_compartment_program_atlas.r","runnable analysis entrypoint; stage identity analysis/08_integration"
"10_biological_integration/02_manuscript_program_summary.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/08_integration/02_manuscript_program_summary.r","runnable analysis entrypoint; stage identity analysis/08_integration"
