"file","function","line_call","purpose","active","publication_facing","rendering_or_statistical","explicit_seed","seed_value_or_source","consumes_global_rng","downstream_artifact","inferential_role","action_needed","governance"
"analysis/spatial_validation/validate_spatial_foundations.R","runif","165: runif(40)","synthetic jitter/perturbation in a spatial-foundation validation fixture",TRUE,FALSE,"statistical",TRUE,"set.seed(11) at :158","yes","spatial validation report","DESCRIPTIVE_DIAGNOSTIC","none - seeded","seeded_inline"
"analysis/wgcna/audit_microglia_module_claims.R","sample","924: sample(animals, length(animals), replace = TRUE)","animal-level resample for microglia module claim audit",TRUE,TRUE,"statistical",TRUE,"set.seed(animal_bootstrap_seed) at :919","yes","results/**/publication_audits/** (audit layer, non-promoted)","SENSITIVITY_ANALYSIS","none - seeded","seeded_inline"
"R/networks/animal_spatial_network_utils.R","sample","277: sample(v, length(v), replace = TRUE)","animal-level bootstrap CI (n_boot=5000); resamples ANIMALS, never proteins/hemispheres/units",TRUE,FALSE,"statistical",TRUE,"set.seed(as.integer(seed)) at :268 inside the function; seed = 20260912L default parameter","yes - sets the global stream and leaves it advanced (no restore)","network position / animal bootstrap CI tables","SENSITIVITY_ANALYSIS","none - explicit deterministic seed parameter","exported_helper_caller_elsewhere"
"R/networks/animal_spatial_network_utils.R","sample","300: sample(va, length(va), replace = TRUE)","animal-level bootstrap of a group difference",TRUE,FALSE,"statistical",TRUE,"set.seed(as.integer(seed)) at :292 inside the function","yes - leaves the stream advanced","network position differential tables","SENSITIVITY_ANALYSIS","none - explicit deterministic seed parameter","exported_helper_caller_elsewhere"
"R/networks/animal_spatial_network_utils.R","sample","301: sample(vb, length(vb), replace = TRUE)","animal-level bootstrap of a group difference (second group)",TRUE,FALSE,"statistical",TRUE,"set.seed(as.integer(seed)) at :292 inside the function","yes - leaves the stream advanced","network position differential tables","SENSITIVITY_ANALYSIS","none - explicit deterministic seed parameter","exported_helper_caller_elsewhere"
"R/networks/wgcna_network_position_utils.R","sample","131: sample(pool, k)","stratified null draw for a within-module permutation test",TRUE,FALSE,"statistical",TRUE,"set.seed(seed) at :175 in the caller, with on.exit restore of .Random.seed","no - the caller saves and restores .Random.seed","WGCNA network position permutation p-values","PRIMARY_INFERENCE","none - deterministic and stream-preserving","seeded_caller"
"analysis/differential_abundance/build_go_program_atlas.R","geom_text_repel","931: geom_text_repel(data = labels_df, ggplot2::aes(label = .data$point_label), size = 2, min.segment.length = 0, max.overlaps = 12, seed = NATURE_REPEL_SE","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/differential_abundance/compare_go_enrichment.R","geom_text_repel","2452: geom_text_repel( data = top_genes_to_label, aes(label = Gene_Name), size = 3, min.segment.length = 0, max.overlaps = Inf, box.padding = 0.5, seed = NA","figure geometry - closed by Phase 6H.6/6H.7",FALSE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/enrichment/run_ewce_celltype_enrichment.R","geom_jitter","1746: geom_jitter( position = ggplot2::position_jitter(width = 0, height = 0.22, seed = NATURE_JITTER_SEED), size = 0.45, alpha = 0.55, stroke = 0 )","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/enrichment/run_ewce_celltype_enrichment.R","position_jitter","1747: position_jitter(width = 0, height = 0.22, seed = NATURE_JITTER_SEED)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/integration/quantify_candidate_network_position.R","geom_jitter","330: geom_jitter(data = d3[!(d3$is_hit %in% TRUE), , drop = FALSE], width = 0.25, height = 0, colour = ""#DDDBD5"", size = 0.25)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,FALSE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/integration/quantify_candidate_network_position.R","geom_jitter","332: geom_jitter(data = d3[d3$is_hit %in% TRUE, , drop = FALSE], width = 0.15, height = 0, colour = ""#E63947"", size = 1.1)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,FALSE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/integration/test_network_behaviour_coupling.R","position_jitter","765: position_jitter(width = 0.07, height = 0)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,FALSE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/qc/assess_joint_compartment_quality.R","geom_jitter","127: geom_jitter(position = ggplot2::position_jitter(width = .15, seed = NATURE_JITTER_SEED))","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/qc/assess_joint_compartment_quality.R","position_jitter","127: position_jitter(width = .15, seed = NATURE_JITTER_SEED)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/qc/assess_marker_rank_abundance.R","geom_label_repel","191: geom_label_repel( data = label_data, aes(label = FeatureDisplayLabel, fill = marker_panel), color = ""white"", size = 2, label.size = 0, max.overlaps = ","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/qc/assess_marker_rank_abundance.R","position_jitter","220: position_jitter(width = 0.16, seed = NATURE_JITTER_SEED)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/qc/assess_replicate_consistency.R","position_jitter","93: position_jitter(width = 0.12, seed = NATURE_JITTER_SEED)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/qc/assess_sample_quality.R","position_jitter","472: position_jitter(width = 0.12, height = 0, seed = NATURE_JITTER_SEED)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/qc/assess_sample_quality.R","position_jitterdodge","968: position_jitterdodge(jitter.width = 0.12, dodge.width = 0.65, seed = NATURE_JITTER_SEED)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/qc/export_marker_traits.R","position_jitter","164: position_jitter(width = 0.12, seed = NATURE_JITTER_SEED)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/qc/render_joint_compartment_qc_figures.R","geom_text_repel","237: geom_text_repel( data = pca_island_labels, ggplot2::aes(PC1, PC2, label = Island), inherit.aes = FALSE, family = ""Arial"", size = 2.29, colour = ""#3030","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/qc/render_joint_compartment_qc_figures.R","geom_text_repel","274: geom_text_repel( data = pca_island_labels, ggplot2::aes(PC1, PC2, label = Island), inherit.aes = FALSE, family = ""Arial"", size = 2.29, colour = ""#3030","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/qc/render_joint_compartment_qc_figures.R","geom_text_repel","410: geom_text_repel( data = label_data, ggplot2::aes(label = label), family = ""sans"", size = 2.1, colour = ""#1a1a1a"", min.segment.length = 0, segment.size","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/qc/summarize_marker_detectability.R","position_jitter","914: position_jitter(width = 0.15, seed = NATURE_JITTER_SEED)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/qc/summarize_marker_detectability.R","position_jitter","946: position_jitter(width = 0.15, seed = NATURE_JITTER_SEED)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/qc/summarize_marker_detectability.R","position_jitter","981: position_jitter(width = 0.15, seed = NATURE_JITTER_SEED)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/qc/summarize_missingness.R","position_jitter","110: position_jitter(width = 0.12, seed = NATURE_JITTER_SEED)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/spatial_validation/validate_network_workbook.R","position_jitter","329: position_jitter(width = 0.12, height = 0)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,FALSE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/spatial_validation/validate_network_workbook.R","position_jitter","342: position_jitter(width = 0.1, height = 0)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,FALSE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/wgcna/build_wgcna_modules.R","pickSoftThreshold","2230: pickSoftThreshold(expression.data, networkType = ""signed"", corFnc = ""bicor"", corOptions = list(use = ""p"", maxPOutliers = 0.05))","WGCNA soft-threshold selection - EMPIRICALLY DETERMINISTIC, no RNG",TRUE,TRUE,"statistical_name_but_deterministic",FALSE,"n/a - verified not to consume RNG","no - identical across incoming seeds; body contains no sample/runif/rnorm/set.seed","WGCNA module construction","COMPUTATIONAL_SHORTCUT","none - reclassify as deterministic; was a false positive of the library-name heuristic","UNGOVERNED_in_file"
"analysis/wgcna/build_wgcna_modules.R","position_jitter","3789: position_jitter(width = 0.08, height = 0, seed = 1)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/wgcna/build_wgcna_modules.R","position_jitter","3856: position_jitter(width = 0.08, height = 0, seed = 1)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/wgcna/build_wgcna_modules.R","position_jitter","4190: position_jitter(width = 0.08, height = 0, seed = 1)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/wgcna/render_microglia_independence_figures.R","geom_text_repel","392: geom_text_repel( data = diagnostic_label_source, ggplot2::aes(label = .data$diagnostic_label), size = 2.0, colour = dark_grey, min.segment.length = 0,","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/wgcna/render_microglia_module_figures.R","position_jitter","97: position_jitter(width = .12, height = 0, seed = 1)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/wgcna/render_module_figures.R","position_jitter","291: position_jitter(width = 0.11, height = 0, seed = NATURE_JITTER_SEED)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/wgcna/score_module_activity.R","geom_text_repel","1728: geom_text_repel( data = rep_label_df, aes(label = Label), size = 2, max.overlaps = 100, seed = NATURE_REPEL_SEED, segment.linewidth = 0.2, show.legend","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/wgcna/score_module_activity.R","position_jitter","1799: position_jitter(width = 0.10, height = 0, seed = NATURE_JITTER_SEED)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/wgcna/score_module_activity.R","geom_text_repel","1803: geom_text_repel( data = context_label_df, aes(label = PlotLabel), size = 1.8, max.overlaps = 80, seed = NATURE_REPEL_SEED, min.segment.length = 0, seg","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/wgcna/score_module_activity.R","geom_text_repel","1864: geom_text_repel( data = replicate_ba_label_df, aes(label = BA_Label), size = 2, max.overlaps = 100, seed = NATURE_REPEL_SEED, segment.linewidth = 0.2,","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/wgcna/score_module_activity.R","position_jitter","3274: position_jitter(width = 0.10, height = 0, seed = NATURE_JITTER_SEED)","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/wgcna/summarize_microglia_roi_specificity.R","geom_text_repel","929: geom_text_repel( data = decision_label_source, ggplot2::aes(label = .data$decision_label), size = 1.65, segment.size = 0.14, segment.colour = ""#8A8F93","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"analysis/wgcna/summarize_module_interpretation.R","position_jitter","1096: position_jitter( width = 0, height = 0.08, seed = 1 )","figure geometry - closed by Phase 6H.6/6H.7",TRUE,TRUE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
"R/qc/control_compartment_abundance_rendering.R","geom_text_repel","744: geom_text_repel( data = labels, ggplot2::aes(label = .data$configured_official_gene_symbol), seed = 20260724L, direction = ""both"", box.padding = 0.28,","figure geometry - closed by Phase 6H.6/6H.7",TRUE,FALSE,"rendering",TRUE,"NATURE_JITTER_SEED / NATURE_REPEL_SEED / pre-existing literal","no - layer-local via withr::with_seed","publication figures","VISUALIZATION_ONLY","none - closed in Phase 6H.6/6H.7","rendering_phase_6H7"
