"legacy_path","policy","reason","frozen_objects_beneath","files","bytes","active_writers","n_active_writers","authoritative_copy"
"results/source_data/04_differential_expression_enrichment","LEGACY_READ_ONLY","manuscript rendering layer moved to Exp9_manuscript in Phase 6C; artefacts frozen",2,348,2858144494,"",0,"this path"
"results/tables/03_qc_exploration","LEGACY_READ_ONLY","manuscript rendering layer moved to Exp9_manuscript in Phase 6C; artefacts frozen",2,329,220320428,"",0,"this path"
"results/tables/manuscript_candidates","LEGACY_READ_ONLY","manuscript rendering layer moved to Exp9_manuscript in Phase 6C; artefacts frozen",2,83,43348804,"",0,"Exp9_manuscript (imported and hash-verified in provenance/source_manifests/)"
"results/source_data/03_qc_exploration","LEGACY_READ_ONLY","manuscript rendering layer moved to Exp9_manuscript in Phase 6C; artefacts frozen",1,64,311083164,"",0,"this path"
"results/tables/08_behavior_physio_coupling","LEGACY_READ_ONLY","manuscript rendering layer moved to Exp9_manuscript in Phase 6C; artefacts frozen",1,29,1095562,"",0,"this path"
"results/tables/10_biological_integration","LEGACY_READ_ONLY","manuscript rendering layer moved to Exp9_manuscript in Phase 6C; artefacts frozen",1,81,490125612,"",0,"this path"
"results/audit","LEGACY_READ_ONLY","no registered writer declares output here",0,5,3337312,"",0,"this path"
"results/EWCE_sample_vs_animal_COMPARISON","LEGACY_READ_ONLY","superseded, failed or comparison tree kept as provenance",0,28,64461329,"",0,"this path"
"results/EWCE_sample_vs_animal_COMPARISON.zip","LEGACY_READ_ONLY","superseded, failed or comparison tree kept as provenance",0,1,57692868,"",0,"this path"
"results/EWCE_sample_vs_animal_REPAIRED","LEGACY_READ_ONLY","superseded, failed or comparison tree kept as provenance",0,28,64860067,"",0,"this path"
"results/EWCE_sample_vs_animal_REPAIRED.zip","LEGACY_READ_ONLY","superseded, failed or comparison tree kept as provenance",0,1,58091692,"",0,"this path"
"results/figures/01_preprocessing","LEGACY_READ_ONLY","no registered writer declares output here",0,0,0,"",0,"this path"
"results/figures/02_id_mapping","LEGACY_READ_ONLY","no registered writer declares output here",0,0,0,"",0,"this path"
"results/figures/03_qc_exploration","LEGACY_READ_ONLY","no registered writer declares output here",0,280,133064239,"",0,"this path"
"results/figures/04_differential_expression_enrichment","LEGACY_READ_ONLY","no registered writer declares output here",0,655,157237163,"",0,"this path"
"results/figures/04_differential_expression_enrichment_comparison","LEGACY_READ_ONLY","no registered writer declares output here",0,901,244354435,"",0,"this path"
"results/figures/05_celltype_enrichment_EWCE","LEGACY_READ_ONLY","no registered writer declares output here",0,120,23394271,"",0,"this path"
"results/figures/07_spatial_networks","LEGACY_READ_ONLY","no registered writer declares output here",0,33,192313,"",0,"this path"
"results/figures/08_behavior_physio_coupling","LEGACY_READ_ONLY","no registered writer declares output here",0,8,482458,"",0,"this path"
"results/figures/08_biological_interpretation","LEGACY_READ_ONLY","no registered writer declares output here",0,3,170979,"",0,"this path"
"results/figures/10_biological_integration","LEGACY_READ_ONLY","no registered writer declares output here",0,51,5014793,"",0,"this path"
"results/figures/11_spatial_systems","LEGACY_READ_ONLY","no registered writer declares output here",0,22,1413095,"",0,"this path"
"results/figures/manuscript_panels","LEGACY_READ_ONLY","superseded, failed or comparison tree kept as provenance",0,6,643842,"",0,"this path"
"results/legacy_vs_animal_GSEA_ULTRAMIN.zip","LEGACY_READ_ONLY","superseded, failed or comparison tree kept as provenance",0,1,41842693,"",0,"this path"
"results/logs/02_id_mapping","LEGACY_READ_ONLY","no registered writer declares output here",0,175,129259663,"",0,"this path"
"results/logs/02_id_mapping_animal_level","LEGACY_READ_ONLY","no registered writer declares output here",0,177,129310364,"",0,"this path"
"results/logs/03_qc_exploration","LEGACY_READ_ONLY","no registered writer declares output here",0,85,188081,"",0,"this path"
"results/logs/04_differential_expression_enrichment","LEGACY_READ_ONLY","no registered writer declares output here",0,99,559299,"",0,"this path"
"results/logs/04_differential_expression_enrichment_comparison","LEGACY_READ_ONLY","no registered writer declares output here",0,146,183787,"",0,"this path"
"results/logs/05_celltype_enrichment_EWCE","LEGACY_READ_ONLY","no registered writer declares output here",0,131,3632056,"",0,"this path"
"results/logs/07_spatial_networks","LEGACY_READ_ONLY","no registered writer declares output here",0,89,26251727,"",0,"this path"
"results/logs/08_behavior_physio_coupling","LEGACY_READ_ONLY","no registered writer declares output here",0,20,85198,"",0,"this path"
"results/logs/08_biological_interpretation","LEGACY_READ_ONLY","no registered writer declares output here",0,2,2954,"",0,"this path"
"results/logs/09_export_pride_journal","LEGACY_READ_ONLY","no registered writer declares output here",0,6,2154540,"",0,"this path"
"results/logs/10_biological_integration","LEGACY_READ_ONLY","no registered writer declares output here",0,33,108458,"",0,"this path"
"results/logs/manuscript_figures","LEGACY_READ_ONLY","no registered writer declares output here",0,20,104182,"",0,"this path"
"results/module_scores","LEGACY_READ_ONLY","no registered writer declares output here",0,4,148829,"",0,"this path"
"results/publication_source_data","LEGACY_READ_ONLY","no registered writer declares output here",0,55,2545817,"",0,"exports/publication_source_data (byte-identical copy; see audits/phase6f_artifact_migration.csv)"
"results/reports/02_id_mapping","LEGACY_READ_ONLY","no registered writer declares output here",0,3,15199264,"",0,"this path"
"results/reports/02_id_mapping_animal_level","LEGACY_READ_ONLY","no registered writer declares output here",0,4,15200051,"",0,"this path"
"results/reports/03_qc_exploration","LEGACY_READ_ONLY","no registered writer declares output here",0,35,151179,"",0,"this path"
"results/reports/04_differential_expression_enrichment","LEGACY_READ_ONLY","no registered writer declares output here",0,126,1890118,"",0,"this path"
"results/reports/04_differential_expression_enrichment_comparison","LEGACY_READ_ONLY","no registered writer declares output here",0,49,577579,"",0,"this path"
"results/reports/05_celltype_enrichment_EWCE","LEGACY_READ_ONLY","no registered writer declares output here",0,0,0,"",0,"this path"
"results/reports/07_spatial_networks","LEGACY_READ_ONLY","no registered writer declares output here",0,0,0,"",0,"this path"
"results/reports/08_behavior_physio_coupling","LEGACY_READ_ONLY","no registered writer declares output here",0,3,2443,"",0,"this path"
"results/reports/08_biological_interpretation","LEGACY_READ_ONLY","no registered writer declares output here",0,1,886,"",0,"this path"
"results/reports/10_biological_integration","LEGACY_READ_ONLY","no registered writer declares output here",0,33,220261,"",0,"this path"
"results/reports/manuscript_candidates","LEGACY_READ_ONLY","no registered writer declares output here",0,76,244567,"",0,"this path"
"results/reports/manuscript_figures","LEGACY_READ_ONLY","no registered writer declares output here",0,23,119058,"",0,"this path"
"results/source_data/01_preprocessing","LEGACY_READ_ONLY","no registered writer declares output here",0,0,0,"",0,"this path"
"results/source_data/02_id_mapping","LEGACY_READ_ONLY","no registered writer declares output here",0,0,0,"",0,"this path"
"results/source_data/04_differential_expression_enrichment_comparison","LEGACY_READ_ONLY","no registered writer declares output here",0,557,296868030,"",0,"this path"
"results/source_data/05_celltype_enrichment_EWCE","LEGACY_READ_ONLY","no registered writer declares output here",0,13,9343756,"",0,"this path"
"results/source_data/07_spatial_networks","LEGACY_READ_ONLY","no registered writer declares output here",0,37,4835295,"",0,"this path"
"results/source_data/08_behavior_physio_coupling","LEGACY_READ_ONLY","no registered writer declares output here",0,6,653407,"",0,"this path"
"results/source_data/08_biological_interpretation","LEGACY_READ_ONLY","no registered writer declares output here",0,0,0,"",0,"this path"
"results/source_data/10_biological_integration","LEGACY_READ_ONLY","no registered writer declares output here",0,103,392418094,"",0,"this path"
"results/source_data/manuscript","LEGACY_READ_ONLY","no registered writer declares output here",0,44,849895,"",0,"this path"
"results/source_data/manuscript_panels","LEGACY_READ_ONLY","superseded, failed or comparison tree kept as provenance",0,6,112318447,"",0,"this path"
"results/tables/02_id_mapping_animal_level","LEGACY_READ_ONLY","no registered writer declares output here",0,346,180096253,"",0,"this path"
"results/tables/04_differential_expression_enrichment_comparison","LEGACY_READ_ONLY","no registered writer declares output here",0,1,1628,"",0,"this path"
"results/tables/05_celltype_enrichment_EWCE","LEGACY_READ_ONLY","no registered writer declares output here",0,47,173837176,"",0,"this path"
"results/tables/07_spatial_networks","LEGACY_READ_ONLY","no registered writer declares output here",0,122,7386171,"",0,"this path"
"results/tables/08_biological_interpretation","LEGACY_READ_ONLY","no registered writer declares output here",0,3,278869,"",0,"this path"
"results/tables/manuscript_panels","LEGACY_READ_ONLY","superseded, failed or comparison tree kept as provenance",0,5,22841,"",0,"this path"
